galaxy,hub_num,type
D631-7,10,Im
DDO064,10,Im
DDO154,10,Im
DDO161,10,Im
DDO168,10,Im
DDO170,10,Im
ESO079-G014,4,Sbc
ESO116-G012,7,Sd
ESO444-G084,10,Im
ESO563-G021,4,Sbc
F561-1,9,Sm
F563-1,9,Sm
F563-V1,10,Im
F563-V2,10,Im
F565-V2,10,Im
F567-2,9,Sm
F568-1,5,Sc
F568-3,7,Sd
F568-V1,7,Sd
F571-8,5,Sc
F571-V1,7,Sd
F574-1,7,Sd
F574-2,9,Sm
F579-V1,5,Sc
F583-1,9,Sm
F583-4,5,Sc
IC2574,9,Sm
IC4202,4,Sbc
KK98-251,10,Im
NGC0024,5,Sc
NGC0055,9,Sm
NGC0100,6,Scd
NGC0247,7,Sd
NGC0289,4,Sbc
NGC0300,7,Sd
NGC0801,5,Sc
NGC0891,3,Sb
NGC1003,6,Scd
NGC1090,4,Sbc
NGC1705,11,BCD
NGC2366,10,Im
NGC2403,6,Scd
NGC2683,3,Sb
NGC2841,3,Sb
NGC2903,4,Sbc
NGC2915,11,BCD
NGC2955,3,Sb
NGC2976,5,Sc
NGC2998,5,Sc
NGC3109,9,Sm
NGC3198,5,Sc
NGC3521,4,Sbc
NGC3726,5,Sc
NGC3741,10,Im
NGC3769,3,Sb
NGC3877,5,Sc
NGC3893,5,Sc
NGC3917,6,Scd
NGC3949,4,Sbc
NGC3953,4,Sbc
NGC3972,4,Sbc
NGC3992,4,Sbc
NGC4010,7,Sd
NGC4013,3,Sb
NGC4051,4,Sbc
NGC4068,10,Im
NGC4085,5,Sc
NGC4088,4,Sbc
NGC4100,4,Sbc
NGC4138,0,S0
NGC4157,3,Sb
NGC4183,6,Scd
NGC4214,10,Im
NGC4217,3,Sb
NGC4389,4,Sbc
NGC4559,6,Scd
NGC5005,4,Sbc
NGC5033,5,Sc
NGC5055,4,Sbc
NGC5371,4,Sbc
NGC5585,7,Sd
NGC5907,5,Sc
NGC5985,3,Sb
NGC6015,6,Scd
NGC6195,3,Sb
NGC6503,6,Scd
NGC6674,3,Sb
NGC6789,11,BCD
NGC6946,6,Scd
NGC7331,3,Sb
NGC7793,7,Sd
NGC7814,2,Sab
PGC51017,11,BCD
UGC00128,8,Sdm
UGC00191,9,Sm
UGC00634,9,Sm
UGC00731,10,Im
UGC00891,9,Sm
UGC01230,9,Sm
UGC01281,8,Sdm
UGC02023,10,Im
UGC02259,8,Sdm
UGC02455,10,Im
UGC02487,0,S0
UGC02885,5,Sc
UGC02916,2,Sab
UGC02953,2,Sab
UGC03205,2,Sab
UGC03546,1,Sa
UGC03580,1,Sa
UGC04278,7,Sd
UGC04305,10,Im
UGC04325,9,Sm
UGC04483,10,Im
UGC04499,8,Sdm
UGC05005,10,Im
UGC05253,2,Sab
UGC05414,10,Im
UGC05716,9,Sm
UGC05721,7,Sd
UGC05750,8,Sdm
UGC05764,10,Im
UGC05829,10,Im
UGC05918,10,Im
UGC05986,9,Sm
UGC05999,10,Im
UGC06399,9,Sm
UGC06446,7,Sd
UGC06614,1,Sa
UGC06628,9,Sm
UGC06667,6,Scd
UGC06786,0,S0
UGC06787,2,Sab
UGC06818,9,Sm
UGC06917,9,Sm
UGC06923,10,Im
UGC06930,7,Sd
UGC06973,2,Sab
UGC06983,6,Scd
UGC07089,8,Sdm
UGC07125,9,Sm
UGC07151,6,Scd
UGC07232,10,Im
UGC07261,8,Sdm
UGC07323,8,Sdm
UGC07399,8,Sdm
UGC07524,9,Sm
UGC07559,10,Im
UGC07577,10,Im
UGC07603,7,Sd
UGC07608,10,Im
UGC07690,10,Im
UGC07866,10,Im
UGC08286,6,Scd
UGC08490,9,Sm
UGC08550,7,Sd
UGC08699,2,Sab
UGC08837,10,Im
UGC09037,6,Scd
UGC09133,2,Sab
UGC09992,10,Im
UGC10310,9,Sm
UGC11455,6,Scd
UGC11557,8,Sdm
UGC11820,9,Sm
UGC11914,2,Sab
UGC12506,6,Scd
UGC12632,9,Sm
UGC12732,9,Sm
UGCA281,11,BCD
UGCA442,9,Sm
UGCA444,10,Im
